AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
3C273.0,1013,NGC4517,10,"('187.27792', '2.05222')","(188.18996, 0.11503)",0.0202652921983,0.0165056420484,193.175903503,187.84981235,364.904148057,x,1420.4,1128.0,115.0,9.765,x,32.8,4.1,82.7,x,71.8,NGC4517,.SAS6*/,81.5,83.0,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764
3C273.0,1013,SDSSJ122815.96+014944.1,10,"('187.27792', '2.05222')","(187.0665, 1.82892)",0.00599091461828,6.21178105476e-84,41.2483851269,6.54790042685,90.5633276893,x,1198.4,904.0,-109.0,16.87858892,x,3.5,1.8,59.3,40.0,3.4,0,x,x,x,x,x,0.003015
3C273.0,1013,CGCG014-054,10,"('187.27792', '2.05222')","(187.7659, 1.6757)",0.00011125909579,1.52818155263e-43,71.0687374802,21.3666328653,211.923696736,x,1399.2,1105.0,92.0,19.70682874,x,7.7,4.4,55.2,80.0,47.7,MCG0-32-16,.IXS9P*,54.9,80.0,IAB(s)m pec:,IAB(s)m pec:,0.003686
3C273.0,1013,NGC4457,10,"('187.27792', '2.05222')","(187.24588, 3.57058)",2.09037262602e-08,5.38806698319e-30,111.032204074,56.3606511673,461.209030356,x,1178.0,882.0,-131.0,17.4,x,14.7,10.0,47.2,75.0,76.2,NGC4457,RSXS0..,31.7,-99,(R)SAB(s)0/a   LINER,(R)SAB(s)0/a   LINER,0.002942
3C273.0,1013,NGC4600,10,"('187.27792', '2.05222')","(190.09566, 3.11775)",8.83600280864e-34,0.0,44.4461941324,7.70188288667,386.096578904,x,1147.1,852.0,-161.0,7.3499999,x,3.9,2.2,55.9,65.0,4.3,NGC4600,.L.....,48.6,60.0,"S0(6),N","S0(6),N",0.002842
3C273.0,1013,VCC1457,10,"('187.27792', '2.05222')","(188.21062, 2.7973)",4.80544177891e-37,0.0,42.8606930872,7.11709210282,391.903092297,x,1336.2,1041.0,28.0,18.82010179,x,3.7,2.2,53.1,2.0,49.4,0,x,x,x,"dE4pec?,N","dE4pec?,N",0.003472
3C273.0,1013,VCC1465,10,"('187.27792', '2.05222')","(188.23154, 3.36042)",1.84800180016e-38,0.0,44.4461941324,7.70188288667,409.624438413,x,1029.7,734.0,-279.0,14.50322845,x,3.9,3.6,24.5,x,x,VCC1465,.I?....,24.2,-99,I?,I?,0.002448
3C273.0,1013,VCC1492,10,"('187.27792', '2.05222')","(188.32596, 2.04644)",8.32944556087e-45,0.0,25.0616554952,2.21652881777,248.842813999,x,966.5,672.0,-341.0,13.61260154,x,1.7,1.2,46.4,153.0,62.7,0,x,x,x,dE2?,dE2?,0.002241
3C273.0,1013,UMaDwarf,10,"('187.27792', '2.05222')","(158.72, 51.92)",-99,-99,-99,-99,97.4470290455,x,1313.0,1101.0,88.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
3C273.0,1013,SDSSJ122745.86+013601.8,10,"('187.27792', '2.05222')","(186.9429, 1.60015)",-99,-99,-99,-99,219.353122132,x,1586.1,1292.0,279.0,22.34012963,x,x,x,x,x,x,0,x,x,x,dIn,dIn,0.00431
