AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SBS1503+570,706,NGC5907,15,"('226.23150', '56.82230')","(228.97404, 56.32877)",0.0915322300603,0.765027678338,294.721085786,470.57956288,452.090918353,x,843.0,667.0,-39.0,16.3,x,60.5,6.6,83.7,x,46.8,NGC5907,.SAS5*/,83.7,155.0,SA(s)c: sp     HII:,SA(s)c: sp     HII:,0.002225
SBS1503+570,706,NGC5879,15,"('226.23150', '56.82230')","(227.44469, 57.00019)",0.0214280121574,7.4705684576e-09,99.828759879,44.7255631602,192.9087462,x,949.1,772.0,66.0,16.117,x,12.6,5.5,63.9,5.0,70.0,NGC5879,.SAT4*$,71.1,0.0,SA(rs)bc:?     LINER,SA(rs)bc:?     LINER,0.002575
SBS1503+570,706,NGC5866,15,"('226.23150', '56.82230')","(226.62291, 55.76321)",0.0171160672829,7.70372499125e-05,137.786059359,90.1143773213,276.90670869,x,853.8,672.0,-34.0,14.675,x,20.1,8.1,66.2,x,40.6,NGC5866,.LA.+./,65.4,128.0,S0_3       HII/LINER,S0_3       HII/LINER,0.002242
SBS1503+570,706,NGC5866B,15,"('226.23150', '56.82230')","(228.03012, 55.78508)",6.24886005874e-10,3.35505283184e-48,97.6311226319,42.6127680396,444.600457669,x,1020.1,841.0,135.0,17.700001,x,12.2,8.7,44.8,20.0,63.5,NGC5866B,.SXT8*.,44.9,20.0,SAB(rs)dm:,SAB(rs)dm:,0.002805
SBS1503+570,706,NGC5826,15,"('226.23150', '56.82230')","(226.641, 55.47911)",2.17527772527e-16,6.6638093719e-297,56.3443347697,12.8986433395,336.758074841,x,1005.5,823.0,117.0,14.16223961,x,5.5,4.2,40.5,25.0,34.5,0,x,x,x,S0?,S0?,0.002746
SBS1503+570,706,NGC5866A,15,"('226.23150', '56.82230')","(226.31672, 55.82782)",5.98963814775e-17,0.0,30.8739507368,3.48812270426,187.768176623,x,767.2,585.0,-121.0,10.80585077,x,2.3,2.2,14.1,106.0,71.3,0,x,x,x,x,x,0.00195
SBS1503+570,706,SBS1510+571B,15,"('226.23150', '56.82230')","(228.05221, 57.00172)",2.72111215377e-25,0.0,27.0607596939,2.6189692629,203.34204924,x,819.0,643.0,-63.0,11.53523114,x,1.9,1.2,51.7,145.0,65.2,0,x,x,x,Spiral,Spiral,0.002146
SBS1503+570,706,UGC09776,15,"('226.23150', '56.82230')","(228.28155, 56.96864)",7.27396602602e-26,0.0,45.2294590975,8.0,342.908765316,x,1008.7,833.0,127.0,17.4,x,4.0,1.5,68.0,x,x,0,x,x,x,Im,Im,0.002779
SBS1503+570,706,KUG1516+568,15,"('226.23150', '56.82230')","(229.35492, 56.66353)",1.91101727399e-42,0.0,41.2483851269,6.54790042685,403.982213721,x,955.4,781.0,75.0,13.45675564,x,3.5,2.4,45.6,80.0,15.3,0,x,x,x,Spiral,Spiral,0.002605
SBS1503+570,706,KUG1513+566,15,"('226.23150', '56.82230')","(228.70055, 56.45443)",2.7419445199e-185,0.0,14.8981413701,0.7155417528,307.121733454,x,888.2,712.0,6.0,12.50973159,x,0.8,0.7,14.1,40.0,65.2,0,x,x,x,Spiral,Spiral,0.002375
SBS1503+570,706,SBS1511+583,15,"('226.23150', '56.82230')","(228.1827, 58.17656)",5.01443748703e-215,0.0,12.2158688863,0.464758001545,270.978385598,x,643.7,471.0,-235.0,9.066242091,x,0.6,0.5,34.9,69.0,30.7,0,x,x,x,x,x,0.001572
SBS1503+570,706,MCG+10-21-039,15,"('226.23150', '56.82230')","(224.12924, 59.59466)",0.0,0.0,12.2158688863,0.464758001545,468.560435655,x,638.6,463.0,-243.0,8.993724436,x,0.6,0.6,0.0,90.0,67.5,0,x,x,x,x,x,0.001544
SBS1503+570,706,UMaDwarf,15,"('226.23150', '56.82230')","(158.72, 51.92)",-99,-99,-99,-99,66.9996754967,x,1313.0,1101.0,395.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
SBS1503+570,706,CXOJ150946.7+565947,15,"('226.23150', '56.82230')","(227.44473, 56.99641)",-99,-99,-99,-99,130.833043181,x,777.1,600.0,-106.0,10.94538212,x,x,x,x,x,75.3,NGC5879,.SAT4*$,71.1,0.0,ELG,ELG,0.002
SBS1503+570,706,CXOJ150945.8+570100,15,"('226.23150', '56.82230')","(227.44105, 57.01676)",-99,-99,-99,-99,182.050682576,x,1076.1,899.0,193.0,15.15599585,x,x,x,x,x,x,0,x,x,x,ELG,ELG,0.003
