AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
PG0003+158,1250,NGC7814,12,"('1.49708', '16.16361')","(0.81204, 16.14542)",0.097299750152,0.056631164518,171.056490977,144.211216623,197.268917699,x,789.3,1050.0,-200.0,17.171,x,27.5,11.5,65.3,x,46.6,NGC7814,.SAS2*/,65.4,135.0,SA(s)ab: sp    LINER,SA(s)ab: sp    LINER,0.003502
PG0003+158,1250,NGC0014,12,"('1.49708', '16.16361')","(2.19333, 15.81556)",0.00059922869028,2.65679041904e-13,87.4486288026,33.5389922329,168.534228303,x,602.9,865.0,-385.0,12.8,x,10.4,7.8,41.4,x,87.5,NGC14,RIBS9P.,42.2,25.0,(R)IB(s)m pec,(R)IB(s)m pec,0.002885
PG0003+158,1250,UGC00017,12,"('1.49708', '16.16361')","(0.93042, 15.21833)",5.53866861966e-07,8.34571864905e-49,74.8451880228,23.9120680829,247.631743307,x,615.0,878.0,-372.0,13.0,x,8.3,5.9,44.8,x,x,UGC17,.S..9*.,44.9,-99,Sm:,Sm:,0.002929
PG0003+158,1250,IC5377,12,"('1.49708', '16.16361')","(0.5225, 16.59028)",1.24426494444e-09,6.37139107217e-272,45.2294590975,8.0,199.752058708,x,790.6,1050.0,-200.0,11.13556878,x,4.0,2.2,55.9,x,x,0,x,x,x,Im:,Im:,0.003502
PG0003+158,1250,UGC00031,12,"('1.49708', '16.16361')","(1.2175, 17.1925)",1.14159335433e-09,2.62990654179e-260,46.0066764959,8.30186725984,202.7659956,x,775.8,1034.0,-216.0,10.92731313,x,4.1,3.4,33.9,55.0,69.6,0,x,x,x,IAm,IAm,0.003449
PG0003+158,1250,UGC00047,12,"('1.49708', '16.16361')","(1.65983, 17.28428)",9.80082837926e-10,1.57109491764e-298,41.2483851269,6.54790042685,171.019998267,x,614.9,873.0,-377.0,8.660272417,x,3.5,0.5,81.4,64.0,56.1,0,x,x,x,Sdm,Sdm,0.002912
PG0003+158,1250,UGC00090,12,"('1.49708', '16.16361')","(2.50708, 16.94083)",2.57354302256e-13,0.0,38.7751498663,5.7243340224,197.959283614,x,648.6,908.0,-342.0,9.135804528,x,3.2,0.9,73.7,88.0,36.7,0,x,x,x,Im:,Im:,0.003029
PG0003+158,1250,UGC00122,12,"('1.49708', '16.16361')","(3.32208, 17.03)",8.14717216971e-19,1.34813425676e-187,70.4305984594,20.9517541032,432.624191316,x,594.6,854.0,-396.0,12.7,x,7.6,1.1,81.4,109.0,45.3,0,x,x,x,Sdm,Sdm,0.002849
PG0003+158,1250,KUG0007+154,12,"('1.49708', '16.16361')","(2.47116, 15.73466)",2.6666928278e-23,0.0,22.988094234,1.83711730709,160.692193592,x,634.6,897.0,-353.0,8.937638066,x,1.5,1.2,41.4,118.0,3.4,0,x,x,x,Spiral,Spiral,0.002991
PG0003+158,1250,UGC12893,12,"('1.49708', '16.16361')","(0.11867, 17.22022)",2.8276379607e-41,0.0,36.2288558359,4.93852204612,348.967431487,x,839.5,1097.0,-153.0,11.82369694,x,2.9,0.8,73.1,5.0,56.4,0,x,x,x,SAdm,SAdm,0.003659
PG0003+158,1250,SDSSJ000952.87+154406.9,12,"('1.49708', '16.16361')","(2.47033, 15.73526)",1.01172758005e-75,0.0,12.2158688863,0.464758001545,159.022368293,x,628.6,891.0,-359.0,8.853156536,x,0.6,0.5,16.3,143.0,28.4,0,x,x,x,HII,HII,0.002973
PG0003+158,1250,UMaDwarf,12,"('1.49708', '16.16361')","(158.72, 51.92)",-99,-99,-99,-99,192.302505226,x,1313.0,1101.0,-149.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
