AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SBS1122+594,1214,IC0691,12,"('171.47375', '59.17278')","(171.68465, 59.15543)",1.23796017069,0.00192908807839,65.8879313759,18.1248172405,45.2884126393,x,1399.4,1197.0,-17.0,23.700001,x,6.9,5.1,42.3,155.0,55.9,IC691,.I?....,48.6,150.0,I?;WR?         HII,I?;WR?         HII,0.003992
SBS1122+594,1214,SDSSJ112625.96+591737.4,12,"('171.47375', '59.17278')","(171.6082, 59.29375)",0.120555168506,1.01361270266e-31,40.4315557553,6.26929023096,52.8099857621,x,1543.8,1342.0,128.0,21.74407849,x,3.4,2.4,44.8,128.0,81.7,0,x,x,x,x,x,0.004476
SBS1122+594,1214,NGC3642,12,"('171.47375', '59.17278')","(170.57455, 59.07451)",0.00308712317554,0.000377928761242,149.850377539,108.153053586,226.448446243,x,1789.9,1588.0,374.0,27.5,x,22.7,22.5,8.1,75.0,3.0,NGC3642,.SAR4*.,33.7,105.0,SA(r)bc:;LINER Sy3,SA(r)bc:;LINER Sy3,0.005297
SBS1122+594,1214,SDSSJ112235.67+585840.5,12,"('171.47375', '59.17278')","(170.64866, 58.97794)",2.48443774281e-07,1.1124300799e-239,42.8606930872,7.11709210282,166.936893494,x,1455.3,1253.0,39.0,20.49709727,x,3.7,1.9,59.3,161.0,84.3,0,x,x,x,x,x,0.004181
SBS1122+594,1214,SDSSJ112725.46+583820.0,12,"('171.47375', '59.17278')","(171.85612, 58.63889)",2.94643317178e-09,2.45147227855e-273,45.2294590975,8.0,200.432195675,x,1432.4,1228.0,14.0,20.17420515,x,4.0,1.2,72.5,143.0,16.8,0,x,x,x,x,x,0.004096
SBS1122+594,1214,SDSSJ113014.40+595626.9,12,"('171.47375', '59.17278')","(172.56004, 59.94083)",4.12206792428e-20,0.0,42.058010542,6.83051974596,277.118319405,x,1193.1,993.0,-221.0,16.80395999,x,3.6,2.0,56.6,41.0,5.1,0,x,x,x,x,x,0.003313
SBS1122+594,1214,CGCG291-076,12,"('171.47375', '59.17278')","(172.57199, 58.13391)",2.77609841711e-21,4.90033590866e-217,71.7043124514,21.7842144683,485.436688433,x,1665.7,1459.0,245.0,23.46005658,x,7.8,6.9,27.1,x,x,0,x,x,x,SA(s)m:,SA(s)m:,0.004867
SBS1122+594,1214,SDSSJ113005.21+582818.0,12,"('171.47375', '59.17278')","(172.52175, 58.47169)",7.86363486404e-23,0.0,53.4839435195,11.5174215864,373.37886869,x,1713.4,1508.0,294.0,24.13263796,x,5.1,1.1,77.9,88.0,54.5,0,x,x,x,x,x,0.005031
SBS1122+594,1214,MCG+10-17-017,12,"('171.47375', '59.17278')","(173.82558, 58.88854)",2.40435443256e-30,0.0,46.0066764959,8.30186725984,377.599769592,x,1235.7,1031.0,-183.0,17.40449196,x,4.1,2.2,56.6,35.0,68.3,0,x,x,x,x,x,0.00344
SBS1122+594,1214,SBS1119+586,12,"('171.47375', '59.17278')","(170.65738, 58.32853)",1.68817542956e-44,0.0,42.058010542,6.83051974596,415.046874155,x,1787.6,1583.0,369.0,25.17779297,x,3.6,2.0,57.3,18.0,8.4,0,x,x,x,x,x,0.00528
SBS1122+594,1214,SDSSJ112149.19+585434.0,12,"('171.47375', '59.17278')","(170.45496, 58.90944)",7.20242186391e-51,0.0,22.988094234,1.83711730709,244.873731609,x,1698.4,1496.0,282.0,23.92109126,x,1.5,1.2,35.9,147.0,83.8,0,x,x,x,x,x,0.004991
SBS1122+594,1214,UMaDwarf,12,"('171.47375', '59.17278')","(158.72, 51.92)",-99,-99,-99,-99,17.977330177,x,1313.0,1101.0,-113.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
