AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
3C273.0,1582,NGC4527,12,"('187.27792', '2.05222')","(188.53509, 2.65366)",0.0202744916085,0.021733041635,199.62977872,201.761205389,362.947128205,x,2031.0,1736.0,154.0,14.932,x,34.4,11.7,70.1,70.0,5.6,NGC4527,.SXS4..,70.2,67.0,SAB(s)bc;HII   LINER,SAB(s)bc;HII   LINER,0.005791
3C273.0,1582,NGC4536,12,"('187.27792', '2.05222')","(188.61271, 2.18814)",0.010376391887,0.0102919791804,197.623138324,197.378365076,358.527920645,x,2102.6,1808.0,226.0,15.321,x,33.9,14.3,65.1,x,45.8,NGC4536,.SXT4..,64.7,130.0,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031
3C273.0,1582,NGC4409,12,"('187.27792', '2.05222')","(186.74375, 2.49436)",0.00230209894106,7.80221243926e-16,92.6028016004,37.9854840696,223.184451571,x,1980.0,1685.0,103.0,18.45,x,11.3,5.0,63.9,10.0,60.4,NGC4420,.SBR4*.,61.4,8.0,SB(r)bc:;HII   LINER,SB(r)bc:;HII   LINER,0.005621
3C273.0,1582,UGC07612,12,"('187.27792', '2.05222')","(187.25892, 2.72319)",0.00152290955006,1.53760321528e-11,111.552827735,56.9367368225,284.096551543,x,1870.2,1575.0,-7.0,24.25,x,14.8,7.8,58.4,x,33.4,UGC7612,.S..9*.,57.5,145.0,Sm:            HII,Sm:            HII,0.005254
3C273.0,1582,SDSSJ122950.58+020153.7,12,"('187.27792', '2.05222')","(187.46075, 2.03158)",0.000939223841838,9.57056996259e-119,38.7751498663,5.7243340224,94.1783793965,x,2083.6,1789.0,207.0,29.34599276,x,3.2,1.8,56.5,x,x,0,x,x,x,x,x,0.005966
3C273.0,1582,IC3474,12,"('187.27792', '2.05222')","(188.15215, 2.66152)",1.25159536416e-05,2.73902609569e-21,105.763835336,50.7085101339,346.977624493,x,2022.1,1727.0,145.0,18.667,x,13.7,1.4,84.3,x,19.1,IC3474,.S..7./,82.8,36.0,Sd(f)          HII,Sd(f)          HII,0.005761
3C273.0,1582,UGC07512,12,"('187.27792', '2.05222')","(186.42223, 2.15898)",4.76463541839e-07,1.69801373335e-104,59.8307384072,14.6969384567,227.109867128,x,1799.7,1505.0,-77.0,15.1,x,6.0,2.7,63.3,130.0,32.9,UGC7512,.IBS9..,63.5,130.0,ImIV,ImIV,0.00502
3C273.0,1582,UGC07642,12,"('187.27792', '2.05222')","(187.55731, 2.62471)",2.5054723938e-08,4.07883744744e-81,72.3373663529,22.2044815296,302.042968469,x,1929.1,1634.0,52.0,27.17085655,x,7.9,6.3,36.9,x,76.0,UGC7642,.IBS9..,37.4,130.0,SdmIII-IV      HII,SdmIII-IV      HII,0.005451
3C273.0,1582,VCC1060,12,"('187.27792', '2.05222')","(187.01527, 2.90991)",1.4380777457e-12,1.28407075478e-113,75.4662391256,24.3455129336,392.334554267,x,1779.4,1484.0,-98.0,25.06223439,x,8.4,1.3,81.4,x,x,VCC1060,.S?....,81.1,-99,S?             HII,S?             HII,0.004951
3C273.0,1582,2dFGRSN389Z231,12,"('187.27792', '2.05222')","(188.19354, 1.56867)",1.12331727792e-55,0.0,41.2483851269,6.54790042685,463.848442076,x,1823.0,1529.0,-53.0,25.67647003,x,3.5,1.6,63.5,x,x,0,x,x,x,x,x,0.0051
3C273.0,1582,SDSSJ122658.42+022923.3,12,"('187.27792', '2.05222')","(186.74342, 2.48981)",2.46976802552e-74,0.0,25.0616554952,2.21652881777,326.22204262,x,1922.0,1627.0,45.0,27.07084759,x,1.7,1.6,16.3,148.0,18.7,NGC4420,.SBR4*.,61.4,8.0,x,x,0.005426
3C273.0,1582,SDSSJ122745.86+013601.8,12,"('187.27792', '2.05222')","(186.9429, 1.60015)",-99,-99,-99,-99,219.353122132,x,1586.1,1292.0,-290.0,22.34012963,x,x,x,x,x,x,0,x,x,x,dIn,dIn,0.00431
