AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
PG1211+143,2116,IC3061,11,"('183.57375', '14.05361')","(183.7685, 14.02897)",0.31637462188,0.0761544190697,151.667408489,111.024281128,139.334020655,x,2615.6,2316.0,200.0,41.9,x,23.1,6.0,74.9,120.0,22.6,IC3061,.SB.5?/,78.8,122.0,SBc? sp;LINER  HII,SBc? sp;LINER  HII,0.007725
PG1211+143,2116,NGC4189,11,"('183.57375', '14.05361')","(183.44696, 13.42481)",0.048970462081,0.0240817846219,180.804494541,162.676341242,314.023262429,x,2414.5,2115.0,-1.0,28.08,x,29.8,17.3,54.5,95.0,83.9,NGC4189,.SXT6$.,43.6,85.0,SAB(rs)cd?     HII,SAB(rs)cd?     HII,0.007055
PG1211+143,2116,UGC07345,11,"('183.57375', '14.05361')","(184.70668, 14.41651)",0.00690033728285,0.00408451297895,184.139849674,169.270836236,311.363007105,x,2706.7,2407.0,291.0,15.425,x,30.6,29.0,18.2,24.0,47.7,NGC4254,.SAS5..,29.4,-99,SA(s)c;LINER   HII,SA(s)c;LINER   HII,0.008029
PG1211+143,2116,IC3049,11,"('183.57375', '14.05361')","(183.39042, 14.48028)",2.16027830557e-06,3.0887257133e-26,96.5239441686,41.5692193817,311.349925599,x,2740.4,2441.0,325.0,38.59710472,x,12.0,7.5,51.7,x,x,IC3049,.I?....,51.9,-99,ImIII-IV,ImIII-IV,0.008142
PG1211+143,2116,NGC4168,11,"('183.57375', '14.05361')","(183.07195, 13.20519)",1.08725289763e-07,6.64299493648e-23,120.244140258,67.0233168382,477.800897028,x,2514.4,2215.0,99.0,27.975,x,16.5,12.9,38.9,x,x,NGC4168,.E.2...,33.7,-99,E2             Sy1.9,E2             Sy1.9,0.007388
PG1211+143,2116,IC3019,11,"('183.57375', '14.05361')","(182.34275, 13.99243)",7.78144911495e-14,6.07479077618e-146,67.1998433419,18.9185358842,343.866586915,x,2015.1,1716.0,-400.0,16.475,x,7.1,6.6,21.6,x,x,IC3019,.E.....,21.1,-99,E,E,0.005723
PG1211+143,2116,NGC4192A,11,"('183.57375', '14.05361')","(183.35954, 14.77203)",8.05340750725e-17,2.31248954829e-161,74.2218129293,23.4812265438,451.570208394,x,2374.3,2075.0,-41.0,34.6,x,8.2,7.1,28.8,x,x,UGC7223,.SA.8..,24.2,-99,SAdm,SAdm,0.006921
PG1211+143,2116,SDSSJ121153.85+134830.2,11,"('183.57375', '14.05361')","(182.97438, 13.8084)",2.21999906782e-18,0.0,56.3443347697,12.8986433395,357.917379978,x,2306.3,2007.0,-109.0,32.48363137,x,5.5,2.6,62.6,133.0,65.9,0,x,x,x,x,x,0.006695
PG1211+143,2116,SDSSJ121309.41+133503.9,11,"('183.57375', '14.05361')","(183.28924, 13.58442)",2.46382692832e-21,0.0,46.7780388647,8.60743864341,322.228955109,x,2407.5,2108.0,-8.0,33.90777912,x,4.2,2.8,47.9,57.0,26.5,0,x,x,x,x,x,0.007032
PG1211+143,2116,SDSSJ121419.86+132706.4,11,"('183.57375', '14.05361')","(183.58277, 13.45179)",6.98766751409e-24,0.0,57.7502209837,13.6085634804,409.325933668,x,2766.5,2467.0,351.0,38.96541089,x,5.7,4.4,38.7,67.0,67.8,0,x,x,x,x,x,0.008229
PG1211+143,2116,2MASXJ12131365+1331213,11,"('183.57375', '14.05361')","(183.30704, 13.52278)",3.0434339507e-33,0.0,41.2483851269,6.54790042685,356.8121731,x,2457.5,2158.0,42.0,34.61212737,x,3.5,2.4,47.2,40.0,14.0,0,x,x,x,x,x,0.007199
