AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,1046,VCC1313,72,"('187.804583333', '12.0519444444')","(187.70217, 12.04502)",0.3713396231182356,7.892351647552059e-14,37.934954608957455,5.458113227114293,29.437754279368882,x,1553.9,1254.0,208.0,16.799999,x,3.1,1.6,59.3,x,x,VCC1313,.......,59.1,-99,Blue Compact Dwarf,Blue Compact Dwarf,0.004183
MS1228.6+1219,1046,UGC07654,72,"('187.804583333', '12.0519444444')","(187.70593, 12.39112)",0.28824974165944867,0.29997368469929236,214.209256204069,235.17300227704712,103.63172765417914,x,1606.9,1307.0,261.0,16.839,x,38.1,32.8,30.7,153.0,11.1,NGC4486,.E+0+P.,37.4,-99,E+0-1 pec;NLRG Sy,E+0-1 pec;NLRG Sy,0.00436
MS1228.6+1219,1046,VCC1369,72,"('187.804583333', '12.0519444444')","(187.88897, 12.06378)",0.2175235594458028,2.930550010377206e-12,34.485854956043596,4.436552715791846,22.070146858897118,x,1076.9,777.0,-269.0,15.16777769,x,2.7,1.8,48.7,154.0,72.2,0,x,x,x,"dE6,N","dE6,N",0.002591
MS1228.6+1219,1046,NGC4497,72,"('187.804583333', '12.0519444444')","(187.88553, 11.62472)",0.15513782165270065,0.0002738024480115835,105.23055156994991,50.1543218476733,143.64707983506113,x,1344.9,1045.0,-1.0,18.94181363,x,13.6,5.2,67.7,75.0,85.5,NGC4497,.LXS+*.,62.8,65.0,SAB(s)0+:,SAB(s)0+:,0.003486
MS1228.6+1219,1046,VCC1396,72,"('187.804583333', '12.0519444444')","(187.98492, 11.97266)",0.078402199692462,1.103481146552369e-41,42.058010542046325,6.8305197459636995,66.31147018271376,x,1394.9,1095.0,49.0,19.64640752,x,3.6,3.6,0.0,x,x,0,x,x,x,"dE0:,N:","dE0:,N:",0.003654
MS1228.6+1219,1046,SDSSJ123046.39+120556.7,72,"('187.804583333', '12.0519444444')","(187.69329, 12.09908)",0.05335358436127055,6.85187964430423e-39,36.228855835915674,4.938522046118656,45.945190403012,x,1575.9,1276.0,230.0,22.19622739,x,2.9,2.0,47.2,25.0,88.4,0,x,x,x,x,x,0.004255
MS1228.6+1219,1046,SDSSJ123104.47+115636.4,72,"('187.804583333', '12.0519444444')","(187.76866, 11.94347)",0.04503178500448665,1.613772495202179e-230,20.826721668546934,1.4822280526288794,34.08136752594436,x,1215.9,916.0,-130.0,17.12553424,x,1.3,1.0,36.9,60.0,42.1,0,x,x,x,x,x,0.003056
MS1228.6+1219,1046,IC3461,72,"('187.804583333', '12.0519444444')","(188.0114, 11.89007)",0.029138275958887513,7.479639262832392e-46,46.7780388647478,8.607438643406063,87.7319299755555,x,1318.9,1019.0,-27.0,19.4,x,4.2,2.8,48.7,120.0,8.7,IC3461,.E?....,33.7,-99,"dE,N","dE,N",0.003399
MS1228.6+1219,1046,NGC4478,72,"('187.804583333', '12.0519444444')","(187.57257, 12.32855)",0.019907600274529733,5.3469044585829276e-08,77.92791269481938,26.105018674576737,99.22976694019769,x,1649.0,1349.0,303.0,15.895,x,8.8,7.4,32.6,x,0.6,NGC4478,.E.2...,31.7,140.0,E2,E2,0.0045
MS1228.6+1219,1046,NGC4429,72,"('187.804583333', '12.0519444444')","(186.86045, 11.10771)",0.018272972953562838,0.023095304257446825,203.61616373963315,210.62256289391217,385.2508324163549,x,1215.8,916.0,-130.0,16.7,x,35.4,12.0,70.1,97.0,52.6,NGC4429,.LAR+..,62.8,99.0,SA(r)0+;LINER  HII,SA(r)0+;LINER  HII,0.003055
