AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J1236.0+2641,7117,IC3585,13,"('189.017083333', '26.6933333333')","(189.16625, 26.82994)",0.02922437129141058,0.05379795105188753,221.9062922966425,253.93148879176053,356.58119862003224,x,7603.0,7312.0,195.0,107.0844161,x,40.1,38.5,16.3,90.0,45.7,0,x,x,x,SA(s)0^0^:,SA(s)0^0^:,0.02439
RX_J1236.0+2641,7117,IC3565,13,"('189.017083333', '26.6933333333')","(189.05109, 26.75612)",0.010960549243174918,8.108929425746781e-13,77.31580540158514,25.661313294529567,131.38746613396134,x,7663.1,7372.0,255.0,107.9310884,x,8.7,7.8,25.8,25.0,0.8,0,x,x,x,x,x,0.024591
RX_J1236.0+2641,7117,SDSSJ123554.79+264907.1,13,"('189.017083333', '26.6933333333')","(188.9783, 26.81866)",0.008032194728890189,4.91326000603503e-09,109.46369894996593,54.644157967709596,238.537260724178,x,7463.0,7172.0,55.0,105.113266,x,14.4,9.4,49.5,145.0,19.5,0,x,x,x,x,x,0.023922
RX_J1236.0+2641,7117,2MASXJ12354755+2645197,13,"('189.017083333', '26.6933333333')","(188.94819, 26.75548)",0.0033296538521704762,1.5158838359935399e-32,66.54533988759152,18.520259177452136,158.49092478966332,x,7372.1,7081.0,-36.0,103.8327635,x,7.0,5.5,38.8,110.0,25.3,0,x,x,x,x,x,0.023621
RX_J1236.0+2641,7117,NGC4556,13,"('189.017083333', '26.6933333333')","(188.94107, 26.90889)",0.002523905302788166,0.009548771150944388,274.2291304538427,402.3414283913602,432.29574877660025,x,7781.9,7491.0,374.0,109.6047146,x,54.5,38.1,45.6,70.0,87.5,NGC4556,.E+..*.,33.7,80.0,E+:,E+:,0.024987
RX_J1236.0+2641,7117,2MASXJ12353589+2633598,13,"('189.017083333', '26.6933333333')","(188.89959, 26.56669)",0.001603022691346788,3.0049947552182974e-05,146.18622091989516,102.48638446154688,286.6056917190292,x,7086.4,6795.0,-322.0,99.80801083,x,21.9,19.3,28.4,65.0,25.3,0,x,x,x,x,x,0.022666
RX_J1236.0+2641,7117,2MASXJ12354394+2634367,13,"('189.017083333', '26.6933333333')","(188.9333, 26.5768)",0.00029410387166223066,8.741527997563102e-12,105.76383533587814,50.708510133901584,240.55582813333766,x,7064.4,6773.0,-344.0,99.49789544,x,13.7,11.8,30.7,90.0,57.3,0,x,x,x,x,x,0.022593
RX_J1236.0+2641,7117,NGC4563,13,"('189.017083333', '26.6933333333')","(189.05365, 26.94145)",2.8332347082778804e-05,1.0717064121733058e-07,160.16905232359844,125.0,472.1397187118591,x,7674.9,7384.0,267.0,108.0968139,x,25.0,16.5,48.7,115.0,72.5,0,x,x,x,x,x,0.02463
RX_J1236.0+2641,7117,SDSSJ123539.50+263255.5,13,"('189.017083333', '26.6933333333')","(188.9146, 26.54877)",2.072554466174357e-05,4.9201525543427185e-27,94.85238264069372,40.02015742097974,311.4787979569775,x,7403.4,7112.0,-5.0,104.2730747,x,11.7,8.9,40.5,154.0,58.3,0,x,x,x,x,x,0.023724
RX_J1236.0+2641,7117,SDSSJ123521.33+263835.0,13,"('189.017083333', '26.6933333333')","(188.8389, 26.64307)",1.6746314418979763e-05,1.9688210035327503e-29,91.46877343064499,36.981495372686055,300.1365234525075,x,7312.3,7021.0,-96.0,102.9899217,x,11.1,10.6,18.2,151.0,78.5,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.023421
RX_J1236.0+2641,7117,2MASXJ12354133+2628567,13,"('189.017083333', '26.6933333333')","(188.92225, 26.48243)",9.82191123471827e-06,2.2775957978062657e-10,138.25869232048996,90.7877084191467,393.24500207244864,x,7037.5,6746.0,-371.0,99.11927424,x,20.2,15.0,42.3,100.0,78.1,0,x,x,x,x,x,0.022501
RX_J1236.0+2641,7117,IC3531,13,"('189.017083333', '26.6933333333')","(188.7356, 26.62657)",1.1999924937513122e-07,5.780182844922047e-21,121.24793899749073,68.2456079172865,457.213749299771,x,7146.3,6855.0,-262.0,100.6524135,x,16.7,14.4,30.7,80.0,4.9,0,x,x,x,x,x,0.022867
RX_J1236.0+2641,7117,SDSSJ123622.59+265612.5,13,"('189.017083333', '26.6933333333')","(189.09412, 26.93681)",2.0887777984549026e-18,2.377309082193556e-188,72.33736635290393,22.20448152963721,461.5199233291143,x,7420.9,7130.0,13.0,104.5193281,x,7.9,5.8,43.0,x,x,0,x,x,x,x,x,0.023784
