AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J1236.0+2641,1012,NGC4565,18,"('189.017083333', '26.6933333333')","(189.08658, 25.98767)",0.45218381129149043,0.5406402622401798,291.6889111034687,460.1181761243518,159.42171984840604,x,1522.0,1230.0,218.0,12.894,x,59.6,6.9,83.3,x,39.0,NGC4565,.SAS3$/,82.2,136.0,SA(s)b? sp Sy3 Sy1.9,SA(s)b? sp Sy3 Sy1.9,0.004103
RX_J1236.0+2641,1012,NGC4559,18,"('189.017083333', '26.6933333333')","(188.99019, 27.95999)",0.0943413735383685,0.046449811633968156,164.5627779941703,132.5745073534124,188.36583635329512,x,1096.5,807.0,-205.0,8.519,x,26.0,12.2,62.0,148.0,30.9,NGC4559,.SXT6..,66.0,150.0,SAB(rs)cd      HII,SAB(rs)cd      HII,0.002692
RX_J1236.0+2641,1012,NGC4494,18,"('189.017083333', '26.6933333333')","(187.85043, 25.77525)",0.00013204274600844569,7.483915307078294e-09,132.05615404244176,82.16610615089411,328.20098653126365,x,1636.5,1344.0,332.0,13.508,x,18.9,13.8,43.2,x,x,NGC4494,.E.1+..,42.2,-99,E1-2           LINER,E1-2           LINER,0.004483
RX_J1236.0+2641,1012,NGC4562,18,"('189.017083333', '26.6933333333')","(188.895, 25.85)",0.000105647777340998,4.214868179375091e-29,74.22181292925816,23.481226543773214,185.53040646958536,x,1645.2,1353.0,341.0,12.5,x,8.2,2.5,71.9,48.0,40.6,NGC4562,.SBS8*/,72.0,48.0,SB(s)dm: sp,SB(s)dm: sp,0.004513
RX_J1236.0+2641,1012,IC3571,18,"('189.017083333', '26.6933333333')","(189.08375, 26.08423)",8.129778458273101e-14,0.0,43.6566776107277,7.407563702054812,233.48388563545322,x,1551.9,1260.0,248.0,21.85803651,x,3.8,3.2,33.6,x,x,0,x,x,x,x,x,0.004203
RX_J1236.0+2641,1012,NGC4393,18,"('189.017083333', '26.6933333333')","(186.46346, 27.56156)",1.2167526331352462e-16,1.059169955061367e-144,76.08500241592442,24.781545553092528,450.08604538842496,x,1045.3,755.0,-257.0,10.6,x,8.5,7.9,21.6,360.0,69.2,NGC4393,.SX.7..,21.1,0.0,SABd,SABd,0.002518
RX_J1236.0+2641,1012,NGC4670,18,"('189.017083333', '26.6933333333')","(191.32112, 27.12541)",4.4500172697253725e-30,0.0,49.05876764093103,9.545941546018392,403.0691153425475,x,1359.0,1069.0,57.0,11.0,x,4.5,3.5,38.2,x,11.9,NGC4670,.SBS0P*,40.7,90.0,SB(s)0/a pec:  BCDG,SB(s)0/a pec:  BCDG,0.003566
RX_J1236.0+2641,1012,SDSSJ123521.28+273348.7,18,"('189.017083333', '26.6933333333')","(188.8387, 27.56353)",1.035611192962242e-32,0.0,36.228855835915674,4.938522046118656,310.0972746497071,x,1426.1,1136.0,124.0,20.08600064,x,2.9,2.1,44.8,133.0,36.6,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.00379
RX_J1236.0+2641,1012,SDSSJ123521.05+273343.6,18,"('189.017083333', '26.6933333333')","(188.83774, 27.56212)",6.833981940508062e-33,0.0,37.934954608957455,5.458113227114293,324.43103527214487,x,1494.1,1204.0,192.0,21.04377554,x,3.1,2.5,35.9,119.0,50.6,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.004017
RX_J1236.0+2641,1012,SDSSJ123820.00+273935.5,18,"('189.017083333', '26.6933333333')","(189.58334, 27.65989)",1.0071186335373099e-41,0.0,41.24838512685209,6.547900426854397,398.90551788853884,x,1488.8,1199.0,187.0,20.96951797,x,3.5,2.7,40.5,163.0,44.6,0,x,x,x,"dE2, N","dE2, N",0.004
RX_J1236.0+2641,1012,SDSSJ123551.86+275557.0,18,"('189.017083333', '26.6933333333')","(188.96609, 27.93251)",1.9086395681133475e-45,0.0,34.485854956043596,4.436552715791846,348.8934362863384,x,1144.6,855.0,-157.0,16.12100532,x,2.7,1.0,67.7,138.0,39.9,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.002853
RX_J1236.0+2641,1012,KUG1242+287A,18,"('189.017083333', '26.6933333333')","(191.15896, 28.47249)",3.76777162346001e-68,0.0,35.36218090933294,4.685296148590822,440.4596025545383,x,1235.3,947.0,-65.0,9.6999998,x,2.8,1.5,57.3,105.0,57.9,MCG5-30-70,.S...*.,57.5,105.0,S0 pec,S0 pec,0.003159
RX_J1236.0+2641,1012,SDSSJ123056.02+263040.3,18,"('189.017083333', '26.6933333333')","(187.73342, 26.51119)",2.6655618505513477e-74,0.0,26.06981975654495,2.414953415699773,338.9764912350249,x,1186.6,895.0,-117.0,16.7123877,x,1.8,1.5,33.6,x,x,0,x,x,x,x,x,0.002984
