AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SDSSJ112224.10+031802.0,1264,NGC3640,14,"('170.600416667', '3.30055555556')","(170.27854, 3.23483)",1.0984114647015557,0.9472330850024483,179.96633842111865,161.04141082342767,138.82594101411507,x,1534.7,1251.0,-13.0,24.25,x,29.6,23.7,36.9,100.0,21.6,NGC3640,.E.3...,37.4,100.0,E3,E3,0.004173
SDSSJ112224.10+031802.0,1264,NGC3640COMP,14,"('170.600416667', '3.30055555556')","(170.46392, 3.40483)",0.1788907838448479,5.2893234382489127e-20,49.05876764093103,9.545941546018392,63.56764720619064,x,1507.1,1223.0,-41.0,21.22678247,x,4.5,1.4,71.3,87.0,40.4,0,x,x,x,Irr(f),Irr(f),0.00408
SDSSJ112224.10+031802.0,1264,NGC3664,14,"('170.600416667', '3.30055555556')","(171.10104, 3.325)",0.014909612774948136,9.202082152062607e-08,108.4123997055851,53.509700055223625,213.09377920579223,x,1665.9,1381.0,117.0,24.4,x,14.2,13.5,18.2,x,x,NGC3664,.SBS9P.,21.1,-99,SB(s)m pec,SB(s)m pec,0.004607
SDSSJ112224.10+031802.0,1264,NGC3630,14,"('170.600416667', '3.30055555556')","(170.07075, 2.96439)",0.00611068023864432,8.196048383367989e-05,143.87505531559668,98.99668681324643,283.2801623911706,x,1768.1,1485.0,221.0,25.9,x,21.4,9.6,63.3,37.0,20.6,NGC3630,.L..../,49.8,37.0,S0,S0,0.004953
SDSSJ112224.10+031802.0,1264,NGC3664A,14,"('170.600416667', '3.30055555556')","(171.10458, 3.2225)",0.00011113449067165833,3.932856805602283e-50,67.19984334193845,18.918535884153403,201.69660440675548,x,1610.8,1326.0,62.0,22.68788084,x,7.1,6.6,21.6,x,x,NGC3664A,RSBS9*.,21.1,-99,(R)SB(s)m:,(R)SB(s)m:,0.004423
SDSSJ112224.10+031802.0,1264,UGC06345,14,"('170.600416667', '3.30055555556')","(170.065, 2.52528)",3.560375315663215e-07,1.586192766613146e-16,127.6844554150877,76.36753236814714,442.1668571991034,x,1884.7,1602.0,338.0,26.9,x,18.0,10.2,55.6,x,40.4,UGC6345,.IBS9..,56.7,75.0,IB(s)m,IB(s)m,0.005344
SDSSJ112224.10+031802.0,1264,SDSSJ112204.12+033651.6,14,"('170.600416667', '3.30055555556')","(170.5172, 3.61435)",2.7072428305285883e-07,0.0,36.228855835915674,4.938522046118656,137.35438587735388,x,1721.4,1437.0,173.0,24.24450624,x,2.9,2.0,44.8,9.0,23.8,0,x,x,x,x,x,0.004794
SDSSJ112224.10+031802.0,1264,CGCG039-161,14,"('170.600416667', '3.30055555556')","(170.82849, 3.95523)",2.816213119372396e-19,0.0,50.55306852161237,10.189357192679037,319.8220758247873,x,1877.1,1592.0,328.0,26.43786026,x,4.7,4.4,18.2,50.0,30.8,0,x,x,x,dE,dE,0.005309
SDSSJ112224.10+031802.0,1264,SDSSJ112106.98+032807.0,14,"('170.600416667', '3.30055555556')","(170.27908, 3.46861)",1.8956317603868286e-20,0.0,24.034925927759257,2.023857702507763,159.3355161292082,x,1789.9,1506.0,242.0,25.20973828,x,1.6,1.1,47.9,28.0,89.6,0,x,x,x,x,x,0.005022
SDSSJ112224.10+031802.0,1264,SDSSJ112425.75+031946.1,14,"('170.600416667', '3.30055555556')","(171.10729, 3.32947)",1.6524566464812682e-36,0.0,22.988094234022373,1.8371173070873836,208.1897819030319,x,1670.9,1386.0,122.0,23.53434351,x,1.5,1.5,14.1,110.0,23.3,NGC3664,.SBS9P.,21.1,-99,x,x,0.004624
SDSSJ112224.10+031802.0,1264,SDSSJ112505.43+040715.6,14,"('170.600416667', '3.30055555556')","(171.27263, 4.121)",1.1722402587499898e-46,0.0,48.303916703970344,9.229517863897335,490.24167795323,x,1881.8,1596.0,332.0,26.50475438,x,4.4,1.7,67.7,99.0,59.7,0,x,x,x,x,x,0.005323
SDSSJ112224.10+031802.0,1264,SDSSJ112003.09+024122.6,14,"('170.600416667', '3.30055555556')","(170.0129, 2.68963)",9.908091652982331e-49,0.0,38.77514986628247,5.7243340223994625,400.9850956774463,x,1925.8,1643.0,379.0,27.12388874,x,3.2,2.5,37.8,24.0,19.8,0,x,x,x,x,x,0.00548
SDSSJ112224.10+031802.0,1264,CGCG039-120,14,"('170.600416667', '3.30055555556')","(169.88763, 3.01531)",3.4155571227485283e-94,0.0,19.70765993782143,1.3145341380123985,289.11240108299324,x,1533.9,1251.0,-13.0,21.60441176,x,1.2,1.1,19.9,1.0,67.2,0,x,x,x,x,x,0.004174
SDSSJ112224.10+031802.0,1264,UMaDwarf,14,"('170.600416667', '3.30055555556')","(158.72, 51.92)",-99,-99,-99,-99,87.46744641034218,x,1313.0,1101.0,-163.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
