AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,1286,UGC07654,59,"('187.804583333', '12.0519444444')","(187.70593, 12.39112)",1.5652913674205549,1.6289562530393555,214.209256204069,235.17300227704712,103.63172765417914,x,1606.9,1307.0,21.0,16.839,x,38.1,32.8,30.7,153.0,11.1,NGC4486,.E+0+P.,37.4,-99,E+0-1 pec;NLRG Sy,E+0-1 pec;NLRG Sy,0.00436
MS1228.6+1219,1286,VCC1313,59,"('187.804583333', '12.0519444444')","(187.70217, 12.04502)",1.0675451828427938,2.2689315812557126e-13,37.934954608957455,5.458113227114293,29.437754279368882,x,1553.9,1254.0,-32.0,16.799999,x,3.1,1.6,59.3,x,x,VCC1313,.......,59.1,-99,Blue Compact Dwarf,Blue Compact Dwarf,0.004183
MS1228.6+1219,1286,SDSSJ123046.39+120556.7,59,"('187.804583333', '12.0519444444')","(187.69329, 12.09908)",0.199724948251471,2.564947273490701e-38,36.228855835915674,4.938522046118656,45.945190403012,x,1575.9,1276.0,-10.0,22.19622739,x,2.9,2.0,47.2,25.0,88.4,0,x,x,x,x,x,0.004255
MS1228.6+1219,1286,NGC4478,59,"('187.804583333', '12.0519444444')","(187.57257, 12.32855)",0.17894913119045683,4.806324691208405e-07,77.92791269481938,26.105018674576737,99.22976694019769,x,1649.0,1349.0,63.0,15.895,x,8.8,7.4,32.6,x,0.6,NGC4478,.E.2...,31.7,140.0,E2,E2,0.0045
MS1228.6+1219,1286,NGC4497,59,"('187.804583333', '12.0519444444')","(187.88553, 11.62472)",0.03631801480522987,6.409759563888893e-05,105.23055156994991,50.1543218476733,143.64707983506113,x,1344.9,1045.0,-241.0,18.94181363,x,13.6,5.2,67.7,75.0,85.5,NGC4497,.LXS+*.,62.8,65.0,SAB(s)0+:,SAB(s)0+:,0.003486
MS1228.6+1219,1286,VCC1396,59,"('187.804583333', '12.0519444444')","(187.98492, 11.97266)",0.033443317280375424,4.707019731821565e-42,42.058010542046325,6.8305197459636995,66.31147018271376,x,1394.9,1095.0,-191.0,19.64640752,x,3.6,3.6,0.0,x,x,0,x,x,x,"dE0:,N:","dE0:,N:",0.003654
MS1228.6+1219,1286,NGC4503,59,"('187.804583333', '12.0519444444')","(188.02597, 11.17642)",0.014853198510467102,1.4730545119491707e-05,130.12132968298573,79.5715087201443,264.4742849875736,x,1641.8,1342.0,56.0,16.799999,x,18.5,8.9,61.3,15.0,28.9,NGC4503,.LB.-*.,62.1,12.0,SB0-:,SB0-:,0.004476
MS1228.6+1219,1286,IC3461,59,"('187.804583333', '12.0519444444')","(188.0114, 11.89007)",0.004993078407813946,1.2816964653015013e-46,46.7780388647478,8.607438643406063,87.7319299755555,x,1318.9,1019.0,-267.0,19.4,x,4.2,2.8,48.7,120.0,8.7,IC3461,.E?....,33.7,-99,"dE,N","dE,N",0.003399
MS1228.6+1219,1286,SDSSJ123104.47+115636.4,59,"('187.804583333', '12.0519444444')","(187.76866, 11.94347)",0.0022420005587453266,8.034500154880924e-232,20.826721668546934,1.4822280526288794,34.08136752594436,x,1215.9,916.0,-370.0,17.12553424,x,1.3,1.0,36.9,60.0,42.1,0,x,x,x,x,x,0.003056
MS1228.6+1219,1286,NGC4429,59,"('187.804583333', '12.0519444444')","(186.86045, 11.10771)",0.0009097577537231614,0.001149847492042124,203.61616373963315,210.62256289391217,385.2508324163549,x,1215.8,916.0,-370.0,16.7,x,35.4,12.0,70.1,97.0,52.6,NGC4429,.LAR+..,62.8,99.0,SA(r)0+;LINER  HII,SA(r)0+;LINER  HII,0.003055
