AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
LBQS1230-0015,1127,NGC4517,11,"('188.267083333', '-0.526111111111')","(188.18996, 0.11503)",1.4456063573364544,1.4188711386626034,193.17590350324986,187.84981235018572,110.05828545444237,x,1420.4,1128.0,1.0,9.765,x,32.8,4.1,82.7,x,89.9,NGC4517,.SAS6*/,81.5,83.0,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764
LBQS1230-0015,1127,NGC4517A,11,"('188.267083333', '-0.526111111111')","(188.11732, 0.38967)",0.0001981576847380768,1.7022467784947046e-05,166.30553723674035,135.64565603070375,367.31873012694786,x,1801.8,1509.0,382.0,22.68,x,26.4,17.2,49.5,x,39.3,NGC4517A,.SBT8*.,48.6,30.0,SB(rs)dm:      HII,SB(rs)dm:      HII,0.005032
LBQS1230-0015,1127,NGC4592,11,"('188.267083333', '-0.526111111111')","(189.82807, -0.53201)",0.00011639283336175221,1.0191089646775185e-17,105.76383533587814,50.708510133901584,316.84062454716366,x,1360.3,1069.0,-58.0,11.63,x,13.7,2.9,77.6,x,6.8,NGC4592,.SAS8*.,74.8,97.0,SA(s)dm:,SA(s)dm:,0.003566
LBQS1230-0015,1127,SDSSJ123607.69-005917.4,11,"('188.267083333', '-0.526111111111')","(189.03208, -0.98819)",2.1850914021008383e-35,0.0,30.873950736811498,3.488122704263713,274.5928911161885,x,1250.0,959.0,-168.0,17.60510915,x,2.3,1.6,45.6,165.0,43.9,0,x,x,x,x,x,0.0032
LBQS1230-0015,1127,2dFGRSN320Z113,11,"('188.267083333', '-0.526111111111')","(187.26608, 0.10381)",2.8753729501255046e-36,0.0,46.00667649591621,8.3018672598398,416.18444377410964,x,1431.5,1139.0,12.0,20.16197435,x,4.1,3.5,31.0,x,x,0,x,x,x,dE,dE,0.0038
LBQS1230-0015,1127,2dFGRSN321Z040,11,"('188.267083333', '-0.526111111111')","(188.11533, 0.36881)",4.754764816700447e-43,0.0,40.43155575527607,6.269290230959163,393.097683641645,x,1761.7,1469.0,342.0,24.81319044,x,3.4,1.9,56.4,x,x,0,x,x,x,x,x,0.0049
LBQS1230-0015,1127,SDSSJ123233.64+002417.1,11,"('188.267083333', '-0.526111111111')","(188.14018, 0.40475)",4.40404439627488e-77,0.0,27.060759693886542,2.618969262897142,358.3696046600062,x,1551.8,1259.0,132.0,21.85597782,x,1.9,1.1,55.9,53.0,60.8,0,x,x,x,x,x,0.0042
LBQS1230-0015,1127,SDSSJ123225.83+002409.3,11,"('188.267083333', '-0.526111111111')","(188.10766, 0.40259)",6.98694311382763e-101,0.0,26.06981975654495,2.414953415699773,394.18821911538504,x,1701.8,1409.0,282.0,23.968674,x,1.8,1.1,52.4,172.0,1.7,0,x,x,x,x,x,0.0047
LBQS1230-0015,1127,SDSSJ123718.74+001248.1,11,"('188.267083333', '-0.526111111111')","(189.32817, 0.21342)",5.911850845363898e-190,0.0,17.378008287493753,1.0,361.9218719581088,x,1138.3,846.0,-281.0,16.03308586,x,1.0,0.8,31.8,80.0,24.9,0,x,x,x,x,x,0.002822
LBQS1230-0015,1127,UMaDwarf,11,"('188.267083333', '-0.526111111111')","(158.72, 51.92)",-99,-99,-99,-99,102.31495720789691,x,1313.0,1101.0,-26.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
LBQS1230-0015,1127,HIPASSJ1233-00,11,"('188.267083333', '-0.526111111111')","(188.30542, -0.51444)",-99,-99,-99,-99,10.054255280503636,x,1020.7,729.0,-398.0,14.37565586,x,x,x,x,x,x,0,x,x,x,x,x,0.002431
