AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J1236.0+2641,7223,IC3585,11,"('189.017083333', '26.6933333333')","(189.16625, 26.82994)",0.06202906059030691,0.11418676323800661,221.9062922966425,253.93148879176053,356.58119862003224,x,7603.0,7312.0,89.0,107.0844161,x,40.1,38.5,16.3,90.0,45.7,0,x,x,x,SA(s)0^0^:,SA(s)0^0^:,0.02439
RX_J1236.0+2641,7223,IC3565,11,"('189.017083333', '26.6933333333')","(189.05109, 26.75612)",0.03197333882128319,2.3654795234711536e-12,77.31580540158514,25.661313294529567,131.38746613396134,x,7663.1,7372.0,149.0,107.9310884,x,8.7,7.8,25.8,25.0,0.8,0,x,x,x,x,x,0.024591
RX_J1236.0+2641,7223,2MFGC09922,11,"('189.017083333', '26.6933333333')","(189.00921, 26.78539)",0.02478601161924579,0.012612006366241768,163.2502500286489,130.286580275944,177.72928331734224,x,7831.1,7540.0,317.0,110.2968754,x,25.7,7.7,72.5,25.0,29.4,0,x,x,x,x,x,0.025151
RX_J1236.0+2641,7223,NGC4556,11,"('189.017083333', '26.6933333333')","(188.94107, 26.90889)",0.013833696970815646,0.052337465434977165,274.2291304538427,402.3414283913602,432.29574877660025,x,7781.9,7491.0,268.0,109.6047146,x,54.5,38.1,45.6,70.0,87.5,NGC4556,.E+..*.,33.7,80.0,E+:,E+:,0.024987
RX_J1236.0+2641,7223,SDSSJ123554.79+264907.1,11,"('189.017083333', '26.6933333333')","(188.9783, 26.81866)",0.008117788840362532,4.965617566931376e-09,109.46369894996593,54.644157967709596,238.537260724178,x,7463.0,7172.0,-51.0,105.113266,x,14.4,9.4,49.5,145.0,19.5,0,x,x,x,x,x,0.023922
RX_J1236.0+2641,7223,2MASXJ12354755+2645197,11,"('189.017083333', '26.6933333333')","(188.94819, 26.75548)",0.0020775064455466822,9.458215717900301e-33,66.54533988759152,18.520259177452136,158.49092478966332,x,7372.1,7081.0,-142.0,103.8327635,x,7.0,5.5,38.8,110.0,25.3,0,x,x,x,x,x,0.023621
RX_J1236.0+2641,7223,NGC4563,11,"('189.017083333', '26.6933333333')","(189.05365, 26.94145)",8.807635937289599e-05,3.3315982902873296e-07,160.16905232359844,125.0,472.1397187118591,x,7674.9,7384.0,161.0,108.0968139,x,25.0,16.5,48.7,115.0,72.5,0,x,x,x,x,x,0.02463
RX_J1236.0+2641,7223,SDSSJ123539.50+263255.5,11,"('189.017083333', '26.6933333333')","(188.9146, 26.54877)",1.5240661900366088e-05,3.618065667406765e-27,94.85238264069372,40.02015742097974,311.4787979569775,x,7403.4,7112.0,-111.0,104.2730747,x,11.7,8.9,40.5,154.0,58.3,0,x,x,x,x,x,0.023724
RX_J1236.0+2641,7223,SDSSJ123521.33+263835.0,11,"('189.017083333', '26.6933333333')","(188.8389, 26.64307)",7.602508049552046e-06,8.938072672587958e-30,91.46877343064499,36.981495372686055,300.1365234525075,x,7312.3,7021.0,-202.0,102.9899217,x,11.1,10.6,18.2,151.0,78.5,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.023421
RX_J1236.0+2641,7223,IC3531,11,"('189.017083333', '26.6933333333')","(188.7356, 26.62657)",2.2600804151166524e-08,1.0886466466771838e-21,121.24793899749073,68.2456079172865,457.213749299771,x,7146.3,6855.0,-368.0,100.6524135,x,16.7,14.4,30.7,80.0,4.9,0,x,x,x,x,x,0.022867
RX_J1236.0+2641,7223,SDSSJ123622.59+265612.5,11,"('189.017083333', '26.6933333333')","(189.09412, 26.93681)",1.6897475000106894e-18,1.9231591226988034e-188,72.33736635290393,22.20448152963721,461.5199233291143,x,7420.9,7130.0,-93.0,104.5193281,x,7.9,5.8,43.0,x,x,0,x,x,x,x,x,0.023784
