AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
PG0003+158,833,NGC7814,13,"('1.49708333333', '16.1636111111')","(0.81204, 16.14542)",0.08149636122951685,0.04743290011949515,171.0564909768426,144.21121662339584,197.26988550288323,x,789.3,1050.0,217.0,17.171,x,27.5,11.5,65.3,x,46.6,NGC7814,.SAS2*/,65.4,135.0,SA(s)ab: sp    LINER,SA(s)ab: sp    LINER,0.003502
PG0003+158,833,NGC0014,13,"('1.49708333333', '16.1636111111')","(2.19333, 15.81556)",0.023758396285082965,1.0535123832329987e-11,87.448628802591,33.53899223292197,168.5337073335915,x,602.9,865.0,32.0,12.8,x,10.4,7.8,41.4,x,87.5,NGC14,RIBS9P.,42.2,25.0,(R)IB(s)m pec,(R)IB(s)m pec,0.002885
PG0003+158,833,UGC00017,13,"('1.49708333333', '16.1636111111')","(0.93042, 15.21833)",1.6744880857403627e-05,2.521992510368623e-47,74.84518802278988,23.912068082873972,247.63232543049057,x,615.0,878.0,45.0,13.0,x,8.3,5.9,44.8,x,x,UGC17,.S..9*.,44.9,-99,Sm:,Sm:,0.002929
PG0003+158,833,UGC00047,13,"('1.49708333333', '16.1636111111')","(1.65983, 17.28428)",3.288950537734756e-08,5.2818162236302826e-297,41.24838512685209,6.547900426854397,171.0197654481154,x,614.9,873.0,40.0,8.660272417,x,3.5,0.5,81.4,64.0,56.1,0,x,x,x,Sdm,Sdm,0.002912
PG0003+158,833,UGC00031,13,"('1.49708333333', '16.1636111111')","(1.2175, 17.1925)",1.334837915568104e-09,3.075992351557124e-260,46.00667649591621,8.3018672598398,202.76594389112867,x,775.8,1034.0,201.0,10.92731313,x,4.1,3.4,33.9,55.0,69.6,0,x,x,x,IAm,IAm,0.003449
PG0003+158,833,IC5377,13,"('1.49708333333', '16.1636111111')","(0.5225, 16.59028)",1.0420887567524586e-09,5.320810156769536e-272,45.22945909746485,8.0,199.75253405631904,x,790.6,1050.0,217.0,11.13556878,x,4.0,2.2,55.9,x,x,0,x,x,x,Im:,Im:,0.003502
PG0003+158,833,UGC00090,13,"('1.49708333333', '16.1636111111')","(2.50708, 16.94083)",4.163297285282861e-12,0.0,38.77514986628247,5.7243340223994625,197.9587750767657,x,648.6,908.0,75.0,9.135804528,x,3.2,0.9,73.7,88.0,36.7,0,x,x,x,Im:,Im:,0.003029
PG0003+158,833,UGC00122,13,"('1.49708333333', '16.1636111111')","(3.32208, 17.03)",4.0633413227524784e-17,6.7327221428725756e-186,70.4305984594212,20.951754103177137,432.6234465238756,x,594.6,854.0,21.0,12.7,x,7.6,1.1,81.4,109.0,45.3,0,x,x,x,Sdm,Sdm,0.002849
PG0003+158,833,KUG0007+154,13,"('1.49708333333', '16.1636111111')","(2.47116, 15.73466)",5.426594323121081e-22,0.0,22.988094234022373,1.8371173070873836,160.69181084761345,x,634.6,897.0,64.0,8.937638066,x,1.5,1.2,41.4,118.0,3.4,0,x,x,x,Spiral,Spiral,0.002991
PG0003+158,833,UGC12893,13,"('1.49708333333', '16.1636111111')","(0.11867, 17.22022)",8.88757981392179e-42,0.0,36.228855835915674,4.938522046118656,348.9678020343748,x,839.5,1097.0,264.0,11.82369694,x,2.9,0.8,73.1,5.0,56.4,0,x,x,x,SAdm,SAdm,0.003659
PG0003+158,833,SDSSJ000952.87+154406.9,13,"('1.49708333333', '16.1636111111')","(2.47033, 15.73526)",2.3345226368956175e-74,0.0,12.215868886348156,0.46475800154489,159.02198909242145,x,628.6,891.0,58.0,8.853156536,x,0.6,0.5,16.3,143.0,28.4,0,x,x,x,HII,HII,0.002973
PG0003+158,833,SDSSJ001108.62+141422.7,13,"('1.49708333333', '16.1636111111')","(2.78594, 14.23965)",7.145289863693181e-90,0.0,20.826721668546934,1.4822280526288794,298.3619456828086,x,529.8,796.0,-37.0,7.461969424,x,1.3,0.7,58.0,119.0,28.2,0,x,x,x,x,x,0.002655
PG0003+158,833,UMaDwarf,13,"('1.49708333333', '16.1636111111')","(158.72, 51.92)",-99,-99,-99,-99,192.30250190470332,x,1313.0,1101.0,268.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
