AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,866,VCC1369,71,"('187.804583333', '12.0519444444')","(187.88897, 12.06378)",1.0893180791153723,1.4675656817076922e-11,34.485854956043596,4.436552715791846,22.070146858897118,x,1076.9,777.0,-89.0,15.16777769,x,2.7,1.8,48.7,154.0,72.2,0,x,x,x,"dE6,N","dE6,N",0.002591
MS1228.6+1219,866,NGC4497,71,"('187.804583333', '12.0519444444')","(187.88553, 11.62472)",0.06963824362425491,0.00012290440446065216,105.23055156994991,50.1543218476733,143.64707983506113,x,1344.9,1045.0,179.0,18.94181363,x,13.6,5.2,67.7,75.0,85.5,NGC4497,.LXS+*.,62.8,65.0,SAB(s)0+:,SAB(s)0+:,0.003486
MS1228.6+1219,866,SDSSJ123104.47+115636.4,71,"('187.804583333', '12.0519444444')","(187.76866, 11.94347)",0.06454538203708797,2.313067585781719e-230,20.826721668546934,1.4822280526288794,34.08136752594436,x,1215.9,916.0,50.0,17.12553424,x,1.3,1.0,36.9,60.0,42.1,0,x,x,x,x,x,0.003056
MS1228.6+1219,866,NGC4429,71,"('187.804583333', '12.0519444444')","(186.86045, 11.10771)",0.026191189625807156,0.03310317893041919,203.61616373963315,210.62256289391217,385.2508324163549,x,1215.8,916.0,50.0,16.7,x,35.4,12.0,70.1,97.0,52.6,NGC4429,.LAR+..,62.8,99.0,SA(r)0+;LINER  HII,SA(r)0+;LINER  HII,0.003055
MS1228.6+1219,866,VCC1313,71,"('187.804583333', '12.0519444444')","(187.70217, 12.04502)",0.025409346278301822,5.40043355133486e-15,37.934954608957455,5.458113227114293,29.437754279368882,x,1553.9,1254.0,388.0,16.799999,x,3.1,1.6,59.3,x,x,VCC1313,.......,59.1,-99,Blue Compact Dwarf,Blue Compact Dwarf,0.004183
MS1228.6+1219,866,VCC1426,71,"('187.804583333', '12.0519444444')","(188.09789, 11.89327)",0.02433953793656453,2.7972923645992483e-46,47.54372818749395,8.916669781930919,91.30906586902846,x,1132.9,833.0,-33.0,15.95598975,x,4.3,0.6,82.0,x,x,VCC1426,.I?....,81.9,-99,Im,Im,0.002777
MS1228.6+1219,866,VCC1396,71,"('187.804583333', '12.0519444444')","(187.98492, 11.97266)",0.02244015491754492,3.15836647113946e-42,42.058010542046325,6.8305197459636995,66.31147018271376,x,1394.9,1095.0,229.0,19.64640752,x,3.6,3.6,0.0,x,x,0,x,x,x,"dE0:,N:","dE0:,N:",0.003654
MS1228.6+1219,866,IC3461,71,"('187.804583333', '12.0519444444')","(188.0114, 11.89007)",0.016527945830653767,4.242635107971046e-46,46.7780388647478,8.607438643406063,87.7319299755555,x,1318.9,1019.0,153.0,19.4,x,4.2,2.8,48.7,120.0,8.7,IC3461,.E?....,33.7,-99,"dE,N","dE,N",0.003399
MS1228.6+1219,866,NGC4491,71,"('187.804583333', '12.0519444444')","(187.73797, 11.48353)",0.003399525044666779,4.245716240411865e-12,74.22181292925816,23.481226543773214,112.07480357639552,x,796.9,497.0,-369.0,11.22343933,x,8.2,3.8,62.0,141.0,45.5,NGC4491,.SBS1*.,59.9,148.0,SB(s)a:        HII,SB(s)a:        HII,0.001658
MS1228.6+1219,866,NGC4435,71,"('187.804583333', '12.0519444444')","(186.9187, 13.07895)",0.0019406122821366085,1.3033708716673456e-05,153.47471125127623,113.92047664928373,380.26830146542744,x,1101.0,801.0,-65.0,16.229,x,23.5,16.0,47.2,15.0,55.2,NGC4435,.LBS0..,43.6,13.0,SB(s)0^0^;LINERHII,SB(s)0^0^;LINERHII,0.002672
MS1228.6+1219,866,NGC4440,71,"('187.804583333', '12.0519444444')","(186.9732, 12.29328)",0.001566515034725143,1.5830829978579317e-18,87.448628802591,33.53899223292197,213.39619010368804,x,1024.0,724.0,-142.0,14.4222495,x,10.4,6.4,51.7,120.0,13.5,NGC4440,.SBT1..,33.7,-99,SB(rs)a,SB(rs)a,0.002415
MS1228.6+1219,866,IC3466,71,"('187.804583333', '12.0519444444')","(188.02367, 11.81792)",0.001089175021159931,4.048994779936148e-159,36.228855835915674,4.938522046118656,94.30719628997153,x,1208.9,909.0,43.0,17.02642389,x,2.9,2.6,26.3,x,x,IC3466,.S?....,43.6,-99,"pec,N","pec,N",0.003032
