AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J1236.0+2641,795,NGC4559,13,"('189.017083333', '26.6933333333')","(188.99019, 27.95999)",0.268793879103824,0.1323430493372924,164.5627779941703,132.5745073534124,188.36583635329512,x,1096.5,807.0,12.0,8.519,x,26.0,12.2,62.0,148.0,30.9,NGC4559,.SXT6..,66.0,150.0,SAB(rs)cd      HII,SAB(rs)cd      HII,0.002692
RX_J1236.0+2641,795,NGC4393,13,"('189.017083333', '26.6933333333')","(186.46346, 27.56156)",6.094645103775501e-16,5.305322384260953e-144,76.08500241592442,24.781545553092528,450.08604538842496,x,1045.3,755.0,-40.0,10.6,x,8.5,7.9,21.6,360.0,69.2,NGC4393,.SX.7..,21.1,0.0,SABd,SABd,0.002518
RX_J1236.0+2641,795,UGC07321,13,"('189.017083333', '26.6933333333')","(184.3917, 22.54015)",2.5693725676523166e-26,0.0,52.75811898352246,11.180339887498949,391.9020159042608,x,703.6,408.0,-387.0,3.8,x,5.0,0.7,82.0,85.0,40.1,UGC7321,.S..7..,86.3,82.0,Sd             HII,Sd             HII,0.001361
RX_J1236.0+2641,795,NGC4670,13,"('189.017083333', '26.6933333333')","(191.32112, 27.12541)",7.387711930244076e-31,0.0,49.05876764093103,9.545941546018392,403.0691153425475,x,1359.0,1069.0,274.0,11.0,x,4.5,3.5,38.2,x,11.9,NGC4670,.SBS0P*,40.7,90.0,SB(s)0/a pec:  BCDG,SB(s)0/a pec:  BCDG,0.003566
RX_J1236.0+2641,795,SDSSJ123521.28+273348.7,13,"('189.017083333', '26.6933333333')","(188.8387, 27.56353)",8.310642837834527e-34,0.0,36.228855835915674,4.938522046118656,310.0972746497071,x,1426.1,1136.0,341.0,20.08600064,x,2.9,2.1,44.8,133.0,36.6,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.00379
RX_J1236.0+2641,795,SDSSJ123551.86+275557.0,13,"('189.017083333', '26.6933333333')","(188.96609, 27.93251)",3.230431502029935e-45,0.0,34.485854956043596,4.436552715791846,348.8934362863384,x,1144.6,855.0,60.0,16.12100532,x,2.7,1.0,67.7,138.0,39.9,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.002853
RX_J1236.0+2641,795,KUG1242+287A,13,"('189.017083333', '26.6933333333')","(191.15896, 28.47249)",2.3502195407590847e-68,0.0,35.36218090933294,4.685296148590822,440.4596025545383,x,1235.3,947.0,152.0,9.6999998,x,2.8,1.5,57.3,105.0,57.9,MCG5-30-70,.S...*.,57.5,105.0,S0 pec,S0 pec,0.003159
RX_J1236.0+2641,795,SDSSJ123056.02+263040.3,13,"('189.017083333', '26.6933333333')","(187.73342, 26.51119)",2.9230858643595603e-74,0.0,26.06981975654495,2.414953415699773,338.9764912350249,x,1186.6,895.0,100.0,16.7123877,x,1.8,1.5,33.6,x,x,0,x,x,x,x,x,0.002984
RX_J1236.0+2641,795,IC3380,13,"('189.017083333', '26.6933333333')","(187.02306, 26.67287)",2.753041868940862e-94,0.0,31.794042964791394,3.71806401235912,466.6465173658745,x,1065.4,774.0,-21.0,15.00582125,x,2.4,1.9,36.9,106.0,16.7,0,x,x,x,x,x,0.002583
RX_J1236.0+2641,795,KUG1238+278B,13,"('189.017083333', '26.6933333333')","(190.20704, 27.56403)",5.360009794304873e-98,0.0,31.794042964791394,3.71806401235912,473.11239735897004,x,1403.8,1114.0,319.0,19.77196507,x,2.4,1.4,52.4,x,x,0,x,x,x,Spiral,Spiral,0.003716
RX_J1236.0+2641,795,MRK1335,13,"('189.017083333', '26.6933333333')","(191.73088, 26.56429)",2.6483898530377147e-143,0.0,20.826721668546934,1.4822280526288794,377.3574477234215,x,1091.6,801.0,6.0,8.8999996,x,1.3,1.0,40.5,45.0,48.0,MRK1335,.E+..*.,46.2,-99,E+:            HII,E+:            HII,0.002672
RX_J1236.0+2641,795,SDSSJ123552.35+275554.2,13,"('189.017083333', '26.6933333333')","(188.96812, 27.93172)",0.0,0.0,3.548133892335755,0.0316227766016838,326.4168674381309,x,1071.6,782.0,-13.0,15.09284645,x,0.1,0.1,0.0,x,x,0,x,x,x,x,x,0.00261
RX_J1236.0+2641,795,UMaDwarf,13,"('189.017083333', '26.6933333333')","(158.72, 51.92)",-99,-99,-99,-99,59.874551207156024,x,1313.0,1101.0,306.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
