AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SDSSJ135726.27+043541.4,1124,NGC5364,20,"('209.359166667', '4.59472222222')","(209.05, 5.01447)",0.6674295409760815,0.7405090243435456,210.7048966796093,226.88950614781638,183.11257268898615,x,1516.4,1241.0,117.0,20.15,x,37.2,21.2,55.2,48.0,84.3,NGC5364,.SAT4P.,49.8,30.0,SA(rs)bc pec   HII,SA(rs)bc pec   HII,0.00414
SDSSJ135726.27+043541.4,1124,UGC08857,20,"('209.359166667', '4.59472222222')","(209.1109, 4.39667)",0.11170655946768528,1.0251401802255664e-10,72.33736635290393,22.20448152963721,106.42827483737676,x,1365.8,1091.0,-33.0,19.23689434,x,7.9,2.7,70.1,130.0,78.7,0,x,x,x,Sb(f),Sb(f),0.003638
SDSSJ135726.27+043541.4,1124,NGC5363,20,"('209.359166667', '4.59472222222')","(209.03004, 5.25477)",0.08404423667541955,0.0517785720085057,183.30857135813798,167.6140328254171,288.1379259711229,x,1414.6,1139.0,15.0,22.4,x,30.4,22.5,42.3,130.0,23.6,NGC5363,.I.0.$.,49.8,135.0,I0?            LINER,I0?            LINER,0.003799
SDSSJ135726.27+043541.4,1124,SDSSJ135714.03+041826.3,20,"('209.359166667', '4.59472222222')","(209.3085, 4.30731)",0.021223418240531065,2.0257503409049126e-33,54.92250663883951,12.201516299214617,105.76326685467984,x,1474.4,1200.0,76.0,20.76568283,x,5.3,1.4,74.9,60.0,50.0,0,x,x,x,Sc(f),Sc(f),0.004002
SDSSJ135726.27+043541.4,1124,NGC5360,20,"('209.359166667', '4.59472222222')","(208.91146, 4.98506)",0.009965333129057263,2.0008024379552933e-08,111.03220407372962,56.36065116728159,236.9287242801242,x,1446.7,1171.0,47.0,22.9,x,14.7,5.3,68.7,x,61.2,NGC5360,.I.0...,67.7,70.0,I0,I0,0.003906
SDSSJ135726.27+043541.4,1124,NGC5356,20,"('209.359166667', '4.59472222222')","(208.74358, 5.33372)",7.344147050123253e-05,6.256252542974118e-09,142.01405013820053,96.23408959407264,400.583393743788,x,1650.2,1374.0,250.0,23.9,x,21.0,6.7,71.3,15.0,54.7,NGC5356,.SX.4*/,74.0,15.0,SABbc: sp      HII,SABbc: sp      HII,0.004583
SDSSJ135726.27+043541.4,1124,NGC5348,20,"('209.359166667', '4.59472222222')","(208.54694, 5.22744)",6.004052350620813e-07,3.579444706104691e-29,96.52394416861009,41.569219381653056,329.4908989819292,x,1727.5,1451.0,327.0,18.378,x,12.0,4.3,68.9,5.0,57.0,NGC5348,.SB.4*/,82.1,177.0,SBbc: sp,SBbc: sp,0.00484
SDSSJ135726.27+043541.4,1124,NGC5338,20,"('209.359166667', '4.59472222222')","(208.36063, 5.20776)",4.854176984242817e-07,1.5977163983217205e-53,74.84518802278988,23.912068082873972,261.06550987877637,x,1092.9,816.0,-308.0,12.8,x,8.3,5.3,50.2,110.0,11.6,NGC5338,.LB..*.,56.7,97.0,SB0:           HII,SB0:           HII,0.002722
SDSSJ135726.27+043541.4,1124,CGCG046-013,20,"('209.359166667', '4.59472222222')","(209.23158, 5.15188)",7.390247454265302e-09,7.5896970928018045e-90,65.22756252504672,17.732230542151203,251.6254540047717,x,1791.2,1516.0,392.0,25.22776229,x,6.8,3.9,54.5,122.0,45.1,0,x,x,x,x,x,0.005058
SDSSJ135726.27+043541.4,1124,SDSSJ135609.35+053233.2,20,"('209.359166667', '4.59472222222')","(209.039, 5.54258)",7.232584615270769e-13,3.2487918095069846e-177,63.22811231576235,16.57181341917655,334.0514454137568,x,1358.8,1083.0,-41.0,19.13841211,x,6.5,6.3,14.1,174.0,12.6,0,x,x,x,x,x,0.003611
SDSSJ135726.27+043541.4,1124,UGC08799,20,"('209.359166667', '4.59472222222')","(208.33258, 5.77164)",1.3100978456576834e-19,0.0,49.80843587295778,9.865900871182518,327.86964247984827,x,1324.3,1047.0,-77.0,12.05,x,4.6,3.2,46.4,x,x,0,x,x,x,Im?,Im?,0.003491
SDSSJ135726.27+043541.4,1124,SDSSJ135723.56+053425.2,20,"('209.359166667', '4.59472222222')","(209.34821, 5.57367)",1.8069394798049487e-20,0.0,47.54372818749395,8.916669781930919,320.1392950464299,x,1330.3,1055.0,-69.0,18.73592358,x,4.3,3.5,35.9,122.0,57.4,0,x,x,x,x,x,0.003519
SDSSJ135726.27+043541.4,1124,SDSSJ135502.70+050525.2,20,"('209.359166667', '4.59472222222')","(208.76127, 5.09034)",2.3941678569536e-22,0.0,46.00667649591621,8.3018672598398,318.52517830292146,x,1672.0,1396.0,272.0,23.54970382,x,4.1,3.3,34.9,119.0,10.7,0,x,x,x,x,x,0.004657
SDSSJ135726.27+043541.4,1124,SDSSJ135621.31+051944.2,20,"('209.359166667', '4.59472222222')","(209.08882, 5.32896)",3.354430368803348e-24,0.0,44.44619413241409,7.701882886671284,321.1702263109669,x,1670.6,1395.0,271.0,23.52926258,x,3.9,3.4,28.4,108.0,51.8,0,x,x,x,x,x,0.004652
SDSSJ135726.27+043541.4,1124,SDSSJ135504.50+051122.2,20,"('209.359166667', '4.59472222222')","(208.76879, 5.18953)",7.6412997492201945e-31,0.0,42.058010542046325,6.8305197459636995,345.2871611266515,x,1679.1,1403.0,279.0,23.6491322,x,3.6,3.1,30.7,133.0,2.3,0,x,x,x,x,x,0.004679
SDSSJ135726.27+043541.4,1124,SDSSJ135946.93+044614.9,20,"('209.359166667', '4.59472222222')","(209.94554, 4.77082)",2.689767464161735e-40,0.0,18.559272685333866,1.153689732987167,175.92029428996773,x,1172.5,899.0,-225.0,16.51372345,x,1.1,1.0,30.7,159.0,85.8,0,x,x,x,Candidate      QSO,Candidate      QSO,0.003
SDSSJ135726.27+043541.4,1124,SDSSJ135922.09+050353.5,20,"('209.359166667', '4.59472222222')","(209.84206, 5.06487)",3.4259310610908134e-60,0.0,20.826721668546934,1.4822280526288794,243.57748714462977,x,1472.9,1199.0,75.0,20.74515331,x,1.3,1.0,40.5,22.0,23.7,0,x,x,x,Point Src [SDSS],Point Src [SDSS],0.004
SDSSJ135726.27+043541.4,1124,SDSSJ135615.94+050954.0,20,"('209.359166667', '4.59472222222')","(209.06643, 5.16501)",7.997563470925945e-73,0.0,21.91938397996774,1.6565023392678924,279.4132149488883,x,1774.5,1499.0,375.0,24.99296158,x,1.4,1.2,29.5,54.0,81.1,0,x,x,x,x,x,0.005
SDSSJ135726.27+043541.4,1124,VVDS140092139,20,"('209.359166667', '4.59472222222')","(209.58939, 4.31697)",-99,-99,-99,-99,101.22388629602413,x,1142.8,869.0,-255.0,16.09606393,x,x,x,x,x,x,0,x,x,x,x,x,0.0029
SDSSJ135726.27+043541.4,1124,UMaDwarf,20,"('209.359166667', '4.59472222222')","(158.72, 51.92)",-99,-99,-99,-99,111.17315278703778,x,1313.0,1101.0,-23.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
