AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
CSO395,IC3687,x,"('182.81083', '36.96083')","(190.56292, 38.50333)",458.856446931,x,624.1,385.9,4.16,x,3.5,3.1,27.1,x,x,x,IC3687,.IXS9..,27.0,-99,IAB(s)m,0.001181
CSO395,SDSSJ120809.74+372724.6,x,"('182.81083', '36.96083')","(182.0406, 37.45685)",261.049131824,x,1346.1,-336.1,18.95975375,x,2.3,1.9,35.9,119.0,9.9,9.9,0,x,x,x,x,0.003583
CSO395,UGC07125,x,"('182.81083', '36.96083')","(182.17638, 36.80275)",259.754881963,x,1344.6,-334.6,28.0,x,30.6,4.9,80.8,85.0,12.3,12.3,UGC7125,.S..9..,80.9,85.0,Sdm,0.003572
CSO395,SDSSJ120901.58+353540.8,x,"('182.81083', '36.96083')","(182.25658, 35.59467)",361.848377857,x,1024.1,-14.1,14.4239122,x,2.1,1.4,49.5,8.0,10.0,10.0,0,x,x,x,x,0.002494
CSO395,KUG1207+367,x,"('182.81083', '36.96083')","(182.48529, 36.43433)",88.6174617533,x,613.5,396.5,8.640201684,x,0.8,0.4,62.6,170.0,36.3,36.3,0,x,x,x,Spiral,0.001131
CSO395,SDSSJ121116.76+374917.1,x,"('182.81083', '36.96083')","(182.81983, 37.82142)",241.512334489,x,1141.6,-131.6,16.07869003,x,2.2,1.1,58.7,162.0,18.5,18.5,0,x,x,x,x,0.002901
CSO395,UGC07207,x,"('182.81083', '36.96083')","(183.07817, 37.01481)",83.4198656954,x,1324.4,-314.4,21.700001,x,13.2,6.5,60.7,x,x,x,0,x,x,x,IB(s)m V,0.003506
CSO395,MCG+06-27-038,x,"('182.81083', '36.96083')","(183.75746, 35.96494)",382.026530405,x,1239.8,-229.8,17.46136265,x,2.3,1.8,37.8,81.0,61.8,61.8,UGC7257,.S..8*.,47.5,160.0,x,0.003215
CSO395,UGC07257,x,"('182.81083', '36.96083')","(183.76233, 35.9585)",358.755490551,x,1217.8,-207.8,16.3,x,4.5,2.0,63.9,170.0,27.2,27.2,UGC7257,.S..8*.,47.5,160.0,Sdm:,0.003142
CSO395,SDSSJ122143.14+375913.8,x,"('182.81083', '36.96083')","(185.4292, 37.98718)",477.810307083,x,838.7,171.3,11.81279768,x,2.1,1.7,33.6,x,x,x,0,x,x,x,dwarf Irr,0.001892
