AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
HE1228+0131,NGC4517A,x,"('187.70833', '1.25583')","(188.11732, 0.38967)",132.68817602100125,166.30553723674035,379.15426800920557,x,1801.8,58.200000000000045,22.68,x,26.4,17.2,49.5,x,4.7,4.7,NGC4517A,.SBT8*.,48.6,30.0,SB(rs)dm:      HII,0.005032
HE1228+0131,2dFGRSN389Z231,x,"('187.70833', '1.25583')","(188.19354, 1.56867)",232.02243835330864,41.24838512685209,258.6635377099614,x,1823.0,37.0,25.67647003,x,3.5,1.6,63.5,x,x,x,0,x,x,x,x,0.0051
HE1228+0131,NGC4527,x,"('187.70833', '1.25583')","(188.53509, 2.65366)",362.48567938567703,199.62977872021068,423.1750641228535,x,2031.0,-171.0,14.932,x,34.4,11.7,70.1,70.0,79.4,79.4,NGC4527,.SXS4..,70.2,67.0,SAB(s)bc;HII   LINER,0.005791
HE1228+0131,CGCG014-064,x,"('187.70833', '1.25583')","(188.33653, 1.52174)",383.33451597784097,65.22756252504672,324.7269624539369,x,1937.0,-77.0,27.28115478,x,6.8,2.7,66.4,179.0,66.1,66.1,CGCG14-64,.S..7?/,-99,-99,Sd? sp,0.00548
HE1228+0131,UGC07512,x,"('187.70833', '1.25583')","(186.42223, 2.15898)",417.2920472759191,59.83073840715335,414.0446321716584,x,1799.7,60.299999999999955,15.1,x,6.0,2.7,63.3,130.0,75.1,75.1,UGC7512,.IBS9..,63.5,130.0,ImIV,0.00502
HE1228+0131,NGC4536,x,"('187.70833', '1.25583')","(188.61271, 2.18814)",426.27625936151964,197.62313832387832,347.2467113272344,x,2102.6,-242.5999999999999,15.321,x,33.9,14.3,65.1,x,5.9,5.9,NGC4536,.SXT4..,64.7,130.0,SAB(rs)bc;HII  Sbrst,0.006031
HE1228+0131,IC3474,x,"('187.70833', '1.25583')","(188.15215, 2.66152)",736.0336277170362,105.76383533587814,480.23281556775873,x,2022.1,-162.0999999999999,18.667,x,13.7,1.4,84.3,x,53.5,53.5,IC3474,.S..7./,82.8,36.0,Sd(f)          HII,0.005761
HE1228+0131,2dFGRSN321Z040,x,"('187.70833', '1.25583')","(188.11533, 0.36881)",1027.558562514122,40.43155575527607,422.64284142523985,x,1761.7,98.29999999999995,24.81319044,x,3.4,1.9,56.4,x,x,x,0,x,x,x,x,0.0049
HE1228+0131,SDSSJ123225.83+002409.3,x,"('187.70833', '1.25583')","(188.10766, 0.40259)",2391.4479993110813,26.06981975654495,394.08734702395634,x,1701.8,158.20000000000005,23.968674,x,1.8,1.1,52.4,172.0,33.1,33.1,0,x,x,x,x,0.0047
HE1228+0131,SDSSJ122950.58+020153.7,x,"('187.70833', '1.25583')","(187.46075, 2.03158)",2404.9824523156817,38.77514986628247,417.05525498354257,x,2083.6,-223.5999999999999,29.34599276,x,3.2,1.8,56.5,x,x,x,0,x,x,x,x,0.005966
HE1228+0131,SDSSJ123233.64+002417.1,x,"('187.70833', '1.25583')","(188.14018, 0.40475)",4146.189489716727,27.060759693886542,364.04619541383,x,1551.8,308.20000000000005,21.85597782,x,1.9,1.1,55.9,53.0,26.1,26.1,0,x,x,x,x,0.0042
HE1228+0131,SDSSJ122745.86+013601.8,x,"('187.70833', '1.25583')","(186.9429, 1.60015)",x,x,327.1689834369463,x,1586.1,273.9000000000001,22.34012963,x,x,x,x,x,x,x,0,x,x,x,dIn,0.00431
