target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z_target,RAdeg_target,DEdeg_target,type,glon,glat,z,program PI,program #,obsid,"SN(N=1238,C=1548,O=1031)",calver,nightonly,IGMPARS,FPN
MRK876,,,,,,,,,,,,,,,,,QSO,98.27,40.38,0.12900,"Arav,Green","11524,11686","LB4F05,LB4Q03","SN=N:59.7,C:41.8,O:33.8",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
1H0419-577,,,,,,,,,,,,,,,,,QSO,266.99,-42.00,0.10400,"Arav,Howk","11686,11692","LB3J02,LB4F03-04,33","SN=N:58.4,C:49.9,O:7.0",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
HE1228+0131,,,,,,,,,,,,,,,,,QSO,291.26,63.66,0.11700,Arav,11686,LB4F09-10,"SN=N:40.9,C:36.3,O:5.6",v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
MRC2251-178,,,,,,,,,,,,,,,,,QSO,46.20,-61.33,0.06609,Green,12029,LBGB03,"SN=N:37.8,C:29.5,O:12.1",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
RX_J1830.3+7312,,,,,,,,,,,,,,,,,QSO,104.04,27.40,0.12300,Bowen,8316,O5EW09,"SN=N:28.3,O:6.4",vXXX,nightonly=NONE,IGMPARS=yes,FPN=STIS
PG0003+158,,,,,,,,,,,,,,,,,QSO,107.32,-45.33,0.45090,Green,12038,"LBGL17,27","SN=N:28.8,C:24.9",v3.1.7,nightonly=done,IGMPARS=yes,FPN=yes
HE0439-5254,,,,,,,,,,,,,,,,,QSO,260.69,-40.90,1.05300,Green,11520,LB4R04-05,"SN=N:26.7,C:15.4",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PG0838+770,,,,,,,,,,,,,,,,,Sey,136.66,32.68,0.13100,Green,11520,LB4R10,"SN=N:26.6,C:18.7,O:6.2",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PG1302-102,,,,,,,,,,,,,,,,,QSO,308.59,52.16,0.27840,Green,12038,LBGL04,"SN=N:26.4,C:38.5,O:15.1",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PG1352+183,,,,,,,,,,,,,,,,,Sey,4.37,72.87,0.15200,Fox,13448,LC8Y13,"SN=N:26.0,C:21.6,O:3.9",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
1H0717+714,,,,,,,,,,,,,,,,,BLLac,143.98,28.02,0.23149,Green,12025,LBG812,"SN=N:23.2,C:28.6,O:16.3",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
1WGA_J0028.4-3306,,,,,,,,,,,,,,,,,QSO,341.25,-82.24,0.89000,Chen,15163,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
PG1001+054,,,,,,,,,,,,,,,,,QSO,234.16,44.62,0.16100,"Bregman,Cooke","13347,13423","LC9W02,LCCV02","SN=N:21.8,C:12.0,O:1.8",v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
RBS567,,,,,,,,,,,,,,,,,QSO,261.22,-40.93,0.24300,Green,11520,LB4R08-09,"SN=N:20.9,C:12.2",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
SDSSJ142859.10+322507.0,,,,,,,,,,,,,,,,,QSO,52.89,68.23,0.62717,Borthakur,13314,LC9M03,SN=N:20.7,v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
PG0923+201,,,,,,,,,,,,,,,,,QSO,210.18,42.65,0.19000,Veilleux,12569,LBP406,SN=N:20.0,v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
TON488,,,,,,,,,,,,,,,,,QSO,198.43,54.63,0.25643,Green,12025,LBG810-11,"SN=N:18.9,C:18.1",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
RX_J0714.5+7408,,,,,,,,,,,,,,,,,QSO,140.80,27.59,0.37100,Wakker,12275,LBH402,SN=N:17.6,v3.1.7,nightonly=done,IGMPARS=yes,FPN=yes
RBS2070,,,,,,,,,,,,,,,,,BLLac,12.84,-78.04,0.16539,Fang,12864,LC0F01-02,"SN=N:17.3,O:1.6",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
HE0241-3043,,,,,,,,,,,,,,,,,QSO,227.49,-65.26,0.66929,Bowen,12988,LC1070,SN=N:17.3,v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
H1101-232,,,,,,,,,,,,,,,,,BLLac,273.19,33.08,0.18600,Green,12025,LBG804-05,"SN=N:16.4,C:12.5",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
RX_J2139.7+0246,,,,,,,,,,,,,,,,,QSO,58.09,-35.01,0.26000,Fox,13840,LCJW03,SN=N:16.2,v3.0,nightonly=done,IGMPARS=yes,FPN=yes
SDSSJ141542.90+163414.0,,,,,,,,,,,,,,,,,QSO,8.85,67.83,0.74350,Bowen,12486,"LBP260,65",SN=N:19.0,v3.0,nightonly=done,IGMPARS=yes,FPN=yes
RBS1307,,,,,,,,,,,,,,,,,Sey,82.87,74.41,0.17190,Tumlinson,12248,LBHO75,"SN=N:15.5,C:10.9",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
